Date,Location,City,State,Deaths,Injuries,County,GOV,Description
1/14/2014,"Roswell, New Mexico",Roswell, New Mexico,0,3,Chaves County,R,"Two people were wounded inside the gymnasium of Berrendo Middle School, at about 8:10 a.m.. An 11-year-old boy and a 13-year-old girl were airlifted to a hospital in Lubbock, Texas in critical condition. The 12-year-old suspected shooter, Mason Campbell, a seventh grade student, was apprehended at the scene after he was talked down by a staff member and dropped the shotgun. A staff member received minor injuries. Campbell was charged with three counts of aggravated battery with a deadly weapon. He was sentenced to a maximum sentence of confinement in a juvenile detention facility until he is twenty one years old.[515]"
1/17/2014,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania,0,2,Philadelphia County,D,"A student allegedly shot two other students in the gymnasium at Delaware Valley Charter School. Both victims, a male and a female, were shot in the arm. They were taken to a nearby hospital and are in stable condition, police say. Police Commissioner Charles Ramsey said at a news conference that the shooter ran out of the school after the shooting but was taken into custody near his home. 17-year-old Raisheem Rochwell was arrested and charged as an adult for aggravated assault, recklessly endangering another person and firearms offenses. Rochwell was sentenced to two years of juvenile detention.[516]"
1/20/2014,"Chester, Pennsylvania",Chester, Pennsylvania,0,1,Delaware County,D,One person was critically injured at Widener University. The incident occurred around 10 p.m. outside the university sport’s complex and led to an 8-hour university lock-down. The suspect was not immediately found.[517]
1/21/2014,"West Lafayette, Indiana",West Lafayette, Indiana,1,0,Tippecanoe County,R,"A 21-year-old student, Andrew Boldt, was killed in a classroom building on the campus of Purdue University. 24-year-old student Cody Cousins was found guilty of the murder and was sentenced to sixty-five years of prison. In October 2014, Cousins committed suicide in his cell.[518]"
1/24/2014,"Orangeburg, South Carolina",Orangeburg, South Carolina,1,0,Orangeburg County,D,A 20-year-old student was killed at South Carolina State University. A 19-year-old was arrested and charged with murder.[519]
1/25/2014,"Los Angeles, California",Los Angeles, California,1,0,?Los Angeles County,D,A man was killed at Los Angeles Valley College. Two suspects were arrested in the fatal shooting.[520]
1/27/2014,"Carbondale, Illinois",Carbondale, Illinois,0,1,Jackson County,D,A group of students at Rebound High School got in an argument in the school's parking lot. One student pulled out a gun and shot another student in the ensuing altercation. An 18-year-old suspect is facing charges of attempted murder.[521]
1/28/2014,"Nashville, Tennessee",Nashville, Tennessee,0,1,Davidson County,D,One student was shot in the leg in an apparent altercation over a gambling debt at Tennessee State University.[522]
1/30/2014,"Palm Bay, Florida",Palm Bay, Florida,0,1,Brevard County,R,Three students were fighting in a parking lot of Eastern Florida State College and one pulled out a gun and shot another of the students. All three students claimed self-defense.[523]
1/31/2014,"Des Moines, Iowa",Des Moines, Iowa,0,1,Polk County,D,"After a basketball game at North High School, there was gunfire in a parking lot of the school. Six males in a black jeep had come moments before the shooting and returned at the time it happened. A 15-year-old girl was injured by a ricocheting bullet. While officers were gaining control of the area, teachers on the scene led students into the school building for safety.[524]"
2/10/2014,"Lyndhurst, Ohio",Lyndhurst, Ohio,0,0,Cuyahoga County,D,"Five shots were fired in the parking lot of Charles F. Brush High School, including one which hit an unoccupied police car. No one was reported to be injured, though a school basketball game was going on at the time.[526]"
2/10/2014,"Salisbury, North Carolina",Salisbury, North Carolina,0,1,Rowan County,R,"A 16-year-old student was shot in the stomach on the campus of Salisbury High School during a dispute in the school gym. 17-year-old suspect was charged with assault with a deadly weapon with intent to kill inflicting serious injury, possession of a firearm on school property and discharging a weapon on school property.[525]"
2/12/2014,"Los Angeles, California",Los Angeles, California,0,1,?Los Angeles County,D,A male victim was shot in the back in a possible gang-related drive-by shooting near the University of Southern California. The suspect fled into the University Campus. The victim was last reported in stable condition before being transported to a local hospital.[527]
2/22/2014,"Augusta, Georgia",Augusta, Georgia,0,1,Richmond County,D,"A shooting involving a campus police officer occurred at a Georgia Regents University dormitory complex. A male suspect entered a vehicle and nearly struck an officer, who opened fire. The suspect was taken to Georgia Regents Medical Center with injuries that were not believed to be critical.[528]"
3/12/2014,"Miami, Florida",Miami, Florida,1,0,Miami-Dade,D,An elementary school teacher was killed outside The Academy of Knowledge Preschool by her husband.
3/25/2014,"College Park, Georgia",College Park, Georgia,0,0,Fulton County,D,"An argument between students led to shots being fired in a Benjamin Banneker High School parking lot during the afternoon. Investigators believe multiple people were present when shots were fired, but it was not known how many could face charges for the incident. No one was injured in the shooting.[529]"
4/9/2014,"Greenville, North Carolina",Greenville, North Carolina,0,0,Pitt County,D,"Just after the lunch hour, at D. H. Conley High School, a car drove past the school and witnesses said an occupant reached out of a car window and fired shots in the direction of the school. This incident occurred on Worthington and Tull Roads, directly in front of the school. No one was injured.[530]"
4/11/2014,"Detroit, Michigan",Detroit, Michigan,1,0,Wayne County,D,"After a Friday evening student awards ceremony called ""Grammy Night"", four men who were affiliated with a gang fired into a crowd in the parking lot of East English Village Preparatory Academy. One 19-year-old, Darryl Smith, was fatally shot in the head. Smith was not a student at the academy.[531]"
5/4/2014,"Augusta, Georgia",Augusta, Georgia,0,1,Richmond County,D,"Two men fired shots inside a dormitory at Paine College on Sunday, injuring one student in the head. Neither of the suspects were students at the college.[532]"
5/5/2014,"Augusta, Georgia",Augusta, Georgia,0,1,Richmond County,D,An active shooter situation was reported at Paine College on Monday with one person reported to be shot. The suspect was apparently apprehended and in custody. It was the second shooting incident to occur at the college campus in two days.[533]
5/8/2014,"Lawrenceville, Georgia",Lawrenceville, Georgia,0,1,Gwinnett County,R,"A person was shot on a student parking lot roof at Georgia Gwinnett College, receiving an injury. The specific cause has not been identified.[534]"
5/14/2014,"Richmond, California",Richmond, California,0,1,Contra Costa County,D,A 14-year-old student was injured during a drive-by shooting in front of John F. Kennedy High School at 8:30 a.m.. He was shot as he was running towards the school campus after a fight took place. The student suffered a serious but stable injury to his leg. Police are searching for a suspect.[535]
6/5/2014,"Seattle, Washington",Seattle, Washington,1,3,King County,D,"19-year-old students, Paul Lee and Sarah Williams, and 24-year-old student, Thomas Fowler, were shot inside a hallway of Otto Miller Hall at Seattle Pacific University.[536] Freshman Lee was rushed to Harborview Medical Center but later died. The shooter was subdued with pepper spray and tackled to the ground by student building monitor, Jon Meis, as he paused to reload his shotgun. 26-year-old Aaron Rey Ybarra was arrested at the scene and has been charged with premeditated and attempted murder.[537]"
6/10/2014,"Troutdale, Oregon",Troutdale, Oregon,2,1,Multnomah County,D,"At around 8:30 a.m. shots were fired at Reynolds High School. 14-year-old freshman Emilio Hoffman was killed, a physical education teacher was injured, and the gunman, 15-year-old Jared Padgett, exchanged gunfire with police officers and then committed suicide in a restroom stall.[467][538]"
9/9/2014,"Miami, Florida",Miami, Florida,0,1,Miami-Dade,D,"Towards the end of the school day, one alternative school student in Miami was shot as a small group of students tussled. The injury was minor, requiring hospitalization, and five young adults were later questioned.[539]"
9/11/2014,"Taylorsville, Utah",Taylorsville, Utah,0,1,Salt Lake County,D,"An elementary school teacher with a concealed weapon permit had her gun fire accidentally in a faculty bathroom. The bullet shattered a toilet, and fragments of both the bullet and the porcelain injured her leg.[540]"
9/27/2014,"Terre Haute, Indiana",Terre Haute, Indiana,0,1,Vigo County,D,"A 20-year-old Indiana State University student was shot by another student on Saturday inside a residence hall. The injuries were not fatal, and a full recovery was expected. The shooter was arrested on the following day.[541]"
9/30/2014,"Albemarle, North Carolina",Albemarle, North Carolina,0,1,Stanly County,R,"Two students got in an argument at Albemarle High School around 7:30 a.m. on Tuesday, and one of the students shot the other twice including once in the leg. The student who committed the shooting was allegedly involved in a stabbing of a football player last year at West Montgomery High School, which is only 20 miles (32 km) away in Mount Gilead, North Carolina. The school had held an active shooter training over the summer, which prepared the school for this incident.[542]"
9/30/2014,"Louisville, Kentucky",Louisville, Kentucky,0,1,Jefferson County,D,"One student was injured at Fern Creek Traditional High School. The incident occurred around 1 p.m., reportedly after student became enraged in a hallway and pulled out a gun. The student was arrested later that day.[543]"
10/3/2014,"Fairburn, Georgia",Fairburn, Georgia,1,0,Fulton County,D,"After a homecoming football game, a fatal shooting of 17-year-old Kristofer Hunter, occurred in the Langston Hughes High School parking lot. The assailant, 18-year-old Eric Dana Johnson Jr., turned himself in a week later.[544]"
10/24/2014,"Marysville, Washington",Marysville, Washington,5,1,Snohomish County,D,"Marysville Pilchuck High School shooting. 15-year-old freshman, Jaylen Fryberg, shot five students in the school cafeteria of Marysville Pilchuck High School, fatally wounding four, before committing suicide.[467][545]"
11/20/2014,"Tallahassee, Florida",Tallahassee, Florida,1,3,Leon County,D,"At around 12:40 a.m. EST, a gunman opened fired in or near the Strozier Library at Florida State University. Three people suffered gunshot injuries and were taken to a local area hospital. One was in critical condition, another was in good condition, and the third was shortly released after treatment. The gunman, later identified as Myron May, an alumnus from the school, started firing towards responding police officers and was fatally shot by them on the steps of the library.[546]"
11/20/2014,"Miami, Florida",Miami, Florida,1,1,Miami-Dade,D,Two teens were shot during a fight at Miami Carol City High School. One of the boys died.[547]
12/5/2014,"Claremore, Oklahoma",Claremore, Oklahoma,1,0,Rogers County,R,"38-year-old Thomas Floyd Fees, a former Tulsa police officer, fired two gunshots the campus of Rogers State University before committing suicide. He had previously been arrested the day before for entering a female student's dormitory room with observable intent to commit a sexual assault.[548]"
12/12/2014,"Portland, Oregon",Portland, Oregon,0,4,Multnomah County,D,"Rosemary Anderson High School shooting: A gunman shot three students and a man outside Rosemary Anderson High School in north Portland. A 16-year-old girl was in critical condition, while the others suffered minor injuries. Two men, aged eighteen and twenty-two, were arrested in connection with the shooting.[549]"
1/15/2015,"Milwaukee, Wisconsin",Milwaukee, Wisconsin,0,3,Milwaukee County,D,"A 15-year-old boy, a student's father, and a teacher were each injured in the school parking lot at Wisconsin Lutheran High School. The student had unspecified injuries that were treated. The father was shot in the knee and the teacher was grazed in the toe. A 36-year-old man was charged in the shooting.[550]"
1/16/2015,"Ocala, Florida",Ocala, Florida,0,2,Marion County,R,"Two were injured in gunfire that occurred after a Friday night basketball game. One was injured directly by a bullet, the other by ricocheting glass.[551]"
2/4/2015,"Frederick, Maryland",Frederick, Maryland,0,2,Frederick County,R,"Two students were shot near the gymnasium of Frederick High School during a junior varsity (JV) boys' basketball game. Approximately two hundred students, staff, and faculty were placed on lockdown for several hours after the shooting while police searched for the suspects. No suspects have been apprehended, although witnesses report seeing four black males dressed all in black who are considered by police to be suspects in this shooting.[552]"
2/14/2015,"Merced, California",Merced, California,1,0,Merced County,D,A teenager was found killed in the parking lot of Tenaya Middle School. The shooting was reported to have occurred after school hours.[553]
2/23/2015,"Daytona Beach, Florida",Daytona Beach, Florida,0,3,Volusia County,R,"Two students argued outside the music building at Bethune-Cookman University when one pulled out a gun. Both had guns and it is not disclosed who did the shooting, injuring three students. A reward was offered to help solve this case.[554]"
3/30/2015,"University City, Missouri",University City, Missouri,0,1,St. Louis County,D,"Police said one person has been arrested for a shooting at Pershing Elementary School. The shooting occurred in the parking lot, with a 34-year-old-man being shot in the buttocks.[555]"
4/13/2015,"Goldsboro, North Carolina",Goldsboro, North Carolina,1,0,Wayne,R,"A faculty member was killed with a rifle in the school library of Wayne Community College. The suspected 20-year-old gunman, Kenneth Stancil, was arrested in Florida the next day. As of January 2017, Stancil, an admitted Neo-Nazi is being investigated for a hate crime.[556]"
4/16/2015,"Paradis, Louisiana",Paradis, Louisiana,0,1,St. Charles Parish,,"A police officer was shot outside a school in a school zone while he was directing school buses into J.B. Martin Middle School, and the suspect was apprehended at the scene.[557]"
4/27/2015,"Lacey, Washington",Lacey, Washington,0,0,Thurston County,D,"A 15-year-old student at North Thurston High School walked into the commons area and fired two shots into the ceiling from a .357 magnum pistol. Brady Olson, a teacher at the school, was able to tackle the student before they could turn the gun on other students. No one was injured or killed. The student is facing charges of firing and possessing a gun on school property.[558]"
5/12/2015,"Jacksonville, Florida",Jacksonville, Florida,0,2,Duval County,R,"Police report that a 16-year-old shot five bullets into a school bus and injured two students. Apparently, there was an argument that touched on previous events.[559]"
5/24/2015,"Flint, Michigan",Flint, Michigan,0,7,Genesee County,D,"In the early morning hours of Memorial Day weekend, a group of people were at Southwestern Classical Academy in the parking lot. Shots rang out and seven were injured, with two men being apprehended and charged.[560]"
8/27/2015,"Savannah, Georgia",Savannah, Georgia,1,0,Chatham County,D,22-year-old student Christopher Starks was fatally shot in a student union building at Savannah State University. The shooter has not been identified.[561]
9/3/2015,"Sacramento, California",Sacramento, California,1,2,Sacramento County,D,"A man was arguing with at least one other person escalated into a physical fight on the parking lot of Sacramento City College. A man opened fire, killing a 25-year-old student and wounding two others. The shooting suspect has not been arrested.[562]"
9/14/2015,"Cleveland, Mississippi",Cleveland, Mississippi,2,0,Bolivar County,D,A geography professor at Delta State University fatally shot a fellow history professor. The geography professor was chased by police and eventually died of a self-inflicted gunshot wound.[563]
9/30/2015,"Harrisburg, South Dakota",Harrisburg, South Dakota,0,1,Lincoln Count,R,"A principal was shot in the arm and wounded at Harrisburg High School after an argument with a student. The suspect, a 16-year-old student at the school, was taken into custody and is charged with first-degree attempted murder.[564]"
10/1/2015,"Roseburg, Oregon",Roseburg, Oregon,10,9,Douglas County,R,"Umpqua Community College shooting: At around 10:40 a.m. PDT, a gunman, identified as 26-year-old student Christopher Harper-Mercer, opened fire in a hall on the Umpqua Community College campus, killing eight students and one teacher, and injuring nine others. Mercer then committed suicide after engaging responding police officers in a brief gunfight.[565]"
10/9/2015,"Houston, Texas",Houston, Texas,1,1,Harris County,D,One person died and another person was injured after someone opened fire outside a Texas Southern University dorm.[567]
10/9/2015,"Flagstaff, Arizona",Flagstaff, Arizona,1,3,Coconino County,D,"One student died and three others were wounded in a shooting at Northern Arizona University. It is unclear what sparked the shooting, which took place near Mountain View Hall, a dormitory that houses most of the campus' students involved in Greek organizations. An 18-year-old student was arrested and charged with murder and aggravated assault.[566]"
10/22/2015,"Nashville, Tennessee",Nashville, Tennessee,1,3,Davidson County,D,One person was killed and three others were wounded in a shooting at an outdoor courtyard at Tennessee State University. The shooting may have stemmed from an argument over a dice game. A suspect has not been identified or arrested.[568]
11/1/2015,"Winston-Salem, North Carolina",Winston-Salem, North Carolina,1,1,Forsyth County,D,One person died and another person was injured after someone opened fire on the campus of Winston-Salem State University. A 21-year-old non-student suspect is sought.[569]
11/20/2015,"North Las Vegas, Nevada",North Las Vegas, Nevada,1,0,Clark County,D,A 16-year-old student was fatally shot during a fight after school hours that involved multiple people on the campus of Mojave High School.[570]
1/29/2016,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania,0,0,Philadelphia County,D,"A gunshot was fired during a fight in a stairwell at Franklin High School, and no injuries were reported. Three people were detained.[572]"
2/9/2016,"Muskegon Heights, Michigan",Muskegon Heights, Michigan,0,4,Muskegon County,D,"Four people, including two students, were injured during a basketball game event in the parking lot of Muskegon Heights High School.[573]"
2/12/2016,"Glendale, Arizona",Glendale, Arizona,2,0,Maricopa,R,Two 15-year-old girls died in an apparent Murder-Suicide at Independence High School.[574]
2/29/2016,"Middletown, Ohio",Middletown, Ohio,0,4,Butler County,R,"15-year-old Cameron Smith, and 14-year-old Cooper Caffrey, were shot when 14-year-old James Austin Hancock, opened fire in the Madison High School cafeteria with a .380 caliber handgun. 15-year-old Brant Murray, and 14-year-old Katherine Douchette, also suffered shrapnel injuries.[575] Hancock was apprehended in a nearby wooded field.[576]"
4/23/2016,"Antigo, Wisconsin",Antigo, Wisconsin,1,2,Langlade County,R,"Two students at a prom at Antigo High School were shot and injured by 18-year-old former student Jakob Wagner. Wagner later exchanged fire with a school resource officer in the school's parking lot, and was captured after being shot and wounded by police. He died hours later in a hospital."
6/1/2016,"Los Angeles, California",Los Angeles, California,2,0,?Los Angeles County,D,"2016 UCLA shooting. Mainak Sarkar, age 38, a Ph.D. student, killed his former professor, William S. Klug, age 39, a professor of mechanical and aerospace engineering, in an engineering building at UCLA. Sarkar then killed himself. Sarkar, who lived in Minnesota, also killed his former wife, Ashley Hasti, age 31, in her Brooklyn Park, Minnesota home.[577][578]"
6/8/2016,"Dorchester, Massachusetts",Dorchester, Massachusetts,1,3,Suffolk County,D,One student was killed and three other individuals were injured when gunfire erupted outside of the Jeremiah Burke High School following a fire-alarm causing an evacuation of the school. Two suspects have been arrested.[579]
9/9/2016,"Alpine, Texas",Alpine, Texas,1,2,Brewster County,R,A 14-year-old female student shot a 16-year-old girl in an Alpine High School restroom before committing suicide. A police officer accidentally shot another officer during the incident.
9/28/2016,"Townville, South Carolina",Townville, South Carolina,2,2,Anderson County,R,"Townville Elementary School shooting: Two students and one teacher were wounded after a teen opened fire at Townville Elementary School. The suspect's father was found dead at his home soon after the shooting. One of the victims, six-year-old Jacob Hall, died 3 days after the shooting.[580][581]"
10/11/2016,"Mobile, Alabama",Mobile, Alabama,0,1,Mobile County,R,"A student was shot in the abdomen and wounded at Vigor High School. The suspect, a 16-year-old boy, turned himself in and was charged with assault.[582]"
10/13/2016,"Columbus, Ohio",Columbus, Ohio,0,2,Franklin County,D,"Two students were shot and wounded on the front lawn of Linden McKinley STEM Academy. One was shot in the shoulder, and the other shot in the chest, and were hospitalized in stable condition.[583]"
10/18/2016,"San Francisco, California",San Francisco, California,0,4,San Francisco,D,"Four students were shot outside June Jordan High School for Equity, a San Francisco public high school. One female victim was in critical condition, while three male victims suffered minor injuries. .[584] Two people were arrested in the shooting.[585]"
10/25/2016,"Sandy, Utah",Sandy, Utah,0,1,Salt Lake County,D,Police say the two teens ages 14 and 16 were involved in a confrontation on the far north end of Union Middle School. The boys got into an argument. The argument lead to a shooting. The 14 year old shot the 16 year old twice. He was sent to the hospital in critical but stable condition.[586]
12/1/2016,"Bountiful, Utah",Bountiful, Utah,0,0,Davis County,R,"At Mueller Park Junior High School, a 15-year-old student fired one shot into the ceiling and then pointed the weapon at his own neck. The student was confronted verbally by a teacher and another student and later arrested in possession of a shotgun, a handgun, and ammunition for each.[587]"
1/20/2017,"Seattle, Washington",Seattle, Washington,0,1,King County,D,A 34-year-old man was shot in Red Square at University of Washington while protesting the visit of controversial journalist Milo Yiannopoulos. The shooter turned himself in to the university police and later questioned and released without being charged with a crime.[589]
1/20/2017,"West Liberty, Ohio",West Liberty, Ohio,0,1,Logan County,R,"A 17-year-old student was charged with attempted murder and other crimes after bringing a gun to West Liberty-Salem High School and firing two shots at 17-year-old student in a bathroom with a shotgun. The victim was injured. The student was ""also is accused of discharging the weapon in the school’s hallway before returning to the bathroom, where he was eventually taken into custody.""[588]"
3/21/2017,"King City, California",King City, California,0,1,Monterey County,D,"An 18-year-old King City High School student was shot outside the school's auditorium. The gunman ran across the school's campus and baseball field, and fled the area. The school was then placed on lockdown. The victim was hospitalized with life-threatening injuries.[590] A suspect was arrested in August 2017.[591]"
4/10/2017,"San Bernardino, California",San Bernardino, California,3,1,San Bernardino County,D,"North Park Elementary School shooting: Cedric Anderson, age 53, of Riverside, California, died of a self-inflicted gunshot wound after shooting and killing his estranged wife, Karen Elaine Smith, age 53, in a classroom. An eight-year-old student was also fatally shot, and a seven-year-old student was injured.[592]"
5/4/2017,"Irving, Texas",Irving, Texas,2,0,Dallas County,D,"North Lake College: Adrian Victor Torres killed a 20-year-old student, Janeera Nickol Gonzalez, whom he was stalking. He fatally shot her three times and the college went into lockdown before discovering that the suspect has died from a self-inflicted gunshot wound.[593]"
9/13/2017,"Rockford, Washington",Rockford, Washington,1,3,Spokane County,R,"Freeman High School: Three students injured and one killed after a shooter opened fire. The suspect, a 15-year-old student, was taken into police custody.[594]"
9/20/2017,"Mattoon, Illinois",Mattoon, Illinois,0,1,Coles County,R,"Mattoon High School: A 14-year-old male student was subdued by a female teacher when he attempted to open fire in the school cafeteria at 11:33 a.m. Multiple shots were fired in the process, and one student was struck in the chest and was driven to a nearby hospital suffering non-life-threatening wounds. The student was taken into custody without further incident.[595][596]"
11/14/2017,"Rancho Tehama Reserve, California",Rancho Tehama Reserve, California,6,18,Tehama County,R,"Rancho Tehama Reserve shootings: Neighbor on a rampage injured one student at Rancho Tehama Elementary School and fatally shot five adults at several locations.[597] The secretary heard the gunfire near the school and ordered the school to go on lockdown. After a custodian and the teachers put it into action, 43 year-old Kevin Neal rammed a truck into the gate of the school and fired at the classrooms hitting one student when a bullet pierced the wall. Neal fatally shot himself after sheriff's deputies rammed his vehicle during a pursuit.[597][598]"
12/7/2017,"Aztec, New Mexico",Aztec, New Mexico,3,0,San Juan County,R,"Aztec High School shooting: William Atchison, 21-year-old former male student snuck into Aztec High School disguised as a student and hid in an unlocked washroom with a Glock 9mm hidden in his bag. He retreated from the washroom after being spotted by a school custodian who chased him shouting ""active shooter"" and ""lockdown"". Atchinson was able to shoot and kill two students who were caught in the hallway before he killed himself.[599][600] He had been investigated in 2016 by the FBI when he asked ""where to find cheap assault rifles for a mass shooting"" on an online forum.[601][602]"
1/9/2018,"Forest City, Iowa",Forest City, Iowa,0,0,Winnebago County,R,"A man shot a pellet gun at a school bus full of children, shattering a window. No one was injured.[603]"
1/20/2018,"Winston-Salem, North Carolina",Winston-Salem, North Carolina,1,0,Forsyth County,D,A student was fatally shot at a party at 1 a.m. on the campus of Wake Forest University.[603]
1/22/2018,"Italy, Texas",Italy, Texas,0,1,Ellis County,R,A 16-year-old male student fired at a 15-year-old female classmate that he had briefly dated in the cafeteria of Italy High School. The gunman left the school immediately after opening fire and was arrested.[604][605][606]
1/22/2018,"New Orleans, Louisiana",New Orleans, Louisiana,0,1,,,"Shots were fired from a truck in the parking lot of NET Charter High School, targeting a crowd of students during lunch time. One student was slightly injured, apparently from injuries unrelated to gunfire. One person was arrested in connection with the shooting.[603]"
1/23/2018,"Marshall County, Kentucky",Marshall County, Kentucky,2,18,Marshall County,R,"Marshall County High School shooting: A 15-year-old male student shot 16 people in the lobby at Marshall County High School and caused non-gunshot injuries to 4 others. Two 15-year-old students died: one killed at the scene, another died of wounds at Vanderbilt Medical Center.[607][608][609]"
2/1/2018,"Los Angeles, California",Los Angeles, California,0,5,Los Angeles County,D,"Two 15-year-old students, a boy and a girl, were shot and injured inside a classroom at Sal Castro Middle School, which shares a campus with Belmont High School. Three other people suffered injuries unrelated to gunfire. A 12-year-old girl was arrested and charged with negligent discharge of a firearm.[610]"
2/5/2018,"Oxon Hill, Maryland",Oxon Hill, Maryland,0,1,Prince George's County,D,"A student was taken to hospital after exiting Oxon Hill High School and going to speak to individuals in a vehicle who then attempted to rob, and subsequently shot and wounded him in the school's parking lot. Two other students were arrested and charged with attempted murder and robbery.[611]"
2/14/2018,"Parkland, Florida",Parkland, Florida,17,14,Broward County,D,"Marjory Stoneman Douglas High School shooting: A 19-year-old former student who had been expelled began shooting students and staff members with a semi-automatic rifle at Marjory Stoneman Douglas High School after pulling a fire alarm. 17 people were killed, and fourteen others were injured. The suspect, Nikolas Cruz, blended in with the crowd of fleeing students and was arrested in a residential area of neighboring Coral Springs after walking away from the school.[612] He is facing charges of murder and attempted murder.[613]"
3/2/2018,"Mount Pleasant, Michigan",Mount Pleasant, Michigan,2,,Isabella County,R,Central Michigan University shooting: Student shot and killed his mother and father when they came to campus to take him home.[614][615][616]
,"Indianapolis, Indiana",Indianapolis, Indiana,0,1,Marion County,R,A 15-year-old male was shot in the leg and injured during a night-time basketball game at Lawrence Central High School.[571]
